"Rv_tag","Mb_tag","category","AA overlap","gene","Deleted in","Gene/RD region","Mb length","RD region","Rv length","Annotation"
"Rv3500c","Mb3530c","virulence, detoxification,adaptation","280 aa overlap","yrbE4B",,," 280 aa",," 280 aa ","conserved integral membrane protein yrbe4b. possible abc transporter."
"Rv3501c","Mb3531c","virulence, detoxification,adaptation","254 aa overlap","yrbE4A",,," 254 aa",," 254 aa ","conserved integral membrane protein yrbe4a. possible abc transporter."
"Rv3502c","Mb3532c","intermediate metabolism and respiration","317 aa overlap",,,," 317 aa",," 317 aa ","probable short-chain type dehydrogenase/reductase. possible 17-beta-hydroxysteroid dehydrogenase."
"Rv3503c","Mb3533c","intermediate metabolism and respiration","63 aa overlap","fdxD",,," 63 aa",," 63 aa ","probable ferredoxin fdxd"
"Rv3504","Mb3534","lipid metabolism","400 aa overlap","fadE26",,," 400 aa",," 400 aa ","probable acyl-coa dehydrogenase fade26"
"Rv3506","Mb3536","lipid metabolism","502 aa overlap","fadD17",,," 502 aa",," 502 aa ","fatty-acid-coa synthetase fadd17 fatty-acid-coa synthase fatty-acid-coa ligase"
"Rv3509c","Mb3539c","intermediate metabolism and respiration","515 aa overlap","ilvX",,," 515 aa",," 515 aa ","probable acetohydroxyacid synthase ilvx acetolactate synthase"
"Rv3510c","Mb3540c","conserved hypothetical protein","278 aa overlap",,,," 278 aa",," 278 aa ","conserved protein"
"Rv3513c","Mb3542c","lipid metabolism","218 aa overlap","fadD18",,," 218 aa",," 218 aa ","probable fatty-acid-coa ligase fadd18 fragment fatty-acid-coa synthetase fatty-acid-coa synthase"
"Rv3515c","Mb3544c","lipid metabolism","548 aa overlap","fadD19",,," 548 aa",," 548 aa ","fatty-acid-coa ligase fadd19 fatty-acid-coa synthetase fatty-acid-coa synthase"
"Rv3517","Mb3546","conserved hypothetical protein","279 aa overlap",,,," 279 aa",," 279 aa ","conserved hypothetical protein"
"Rv3519","Mb3549","conserved hypothetical protein","236 aa overlap",,,," 236 aa",," 236 aa ","unknown protein"
"Rv3520c","Mb3550c","intermediate metabolism and respiration","347 aa overlap",,,," 347 aa",," 347 aa ","possible coenzyme f420-dependent oxidoreductase"
"Rv3523","Mb3553","lipid metabolism","394 aa overlap","ltp3",,," 394 aa",," 394 aa ","probable lipid carrier protein or keto acyl-coa thiolase ltp3"
"Rv3524","Mb3554","cell wall and cell processes","343 aa overlap",,,," 343 aa",," 343 aa ","probable conserved membrane protein"
"Rv3525c","Mb3555c","intermediate metabolism and respiration","174 aa overlap",,,," 174 aa",," 174 aa ","possible siderophore-binding protein"
"Rv3526","Mb3556","intermediate metabolism and respiration","386 aa overlap","ksha",,," 386 aa",," 386 aa ","oxygenase component of 3-ketosteroid-9-alpha-hydroxylase ksha"
"Rv3527","Mb3557","conserved hypothetical protein","149 aa overlap",,,," 149 aa",," 149 aa ","hypothetical protein"
"Rv3528c","Mb3558c","conserved hypothetical protein","237 aa overlap",,,," 237 aa",," 237 aa ","unknown protein"
"Rv3529c","Mb3559c","conserved hypothetical protein","384 aa overlap",,,," 384 aa",," 384 aa ","conserved hypothetical protein"
"Rv3530c","Mb3560c","intermediate metabolism and respiration","260 aa overlap",,,," 260 aa",," 260 aa ","possible oxidoreductase"
"Rv3531c","Mb3561c","conserved hypothetical protein","375 aa overlap",,,," 375 aa",," 375 aa ","hypothetical protein"
"Rv3532","Mb3562","PE/PPE","406 aa overlap","PPE61",,," 406 aa",," 406 aa ","ppe family protein ppe61"
"Rv3533c","Mb3563c","PE/PPE","582 aa overlap","PPE62",,," 582 aa",," 582 aa ","ppe family protein ppe62"
"Rv3534c","Mb3564c","intermediate metabolism and respiration","346 aa overlap","hsaf",,," 346 aa",," 346 aa ","probable 4-hydroxy-2-oxovalerate aldolase hoa"
"Rv3535c","Mb3565c","intermediate metabolism and respiration","303 aa overlap","hsag",,," 303 aa",," 303 aa ","probable acetaldehyde dehydrogenase acetaldehyde dehydrogenase [acetylating]"
"Rv3536c","Mb3566c","intermediate metabolism and respiration","261 aa overlap","hsae",,," 261 aa",," 261 aa ","probable hydratase"
"Rv3537","Mb3567","intermediate metabolism and respiration","563 aa overlap","kstd",,," 563 aa",," 563 aa ","probable dehydrogenase"
"Rv3538","Mb3568","intermediate metabolism and respiration","286 aa overlap",,,," 286 aa",," 286 aa ","probable dehydrogenase. possible 2-enoyl acyl-coa hydratase."
"Rv3539","Mb3569","PE/PPE","479 aa overlap","PPE63",,," 479 aa",," 479 aa ","ppe family protein ppe63"
"Rv3540c","Mb3570c","lipid metabolism","386 aa overlap","ltp2",,," 386 aa",," 386 aa ","probable lipid transfer protein or keto acyl-coa thiolase ltp2"
"Rv3541c","Mb3571c","conserved hypothetical protein","129 aa overlap",,,," 129 aa",," 129 aa ","conserved protein"
"Rv3542c","Mb3572c","conserved hypothetical protein","311 aa overlap",,,," 311 aa",," 311 aa ","conserved hypothetical protein"
"Rv3543c","Mb3573c","lipid metabolism","387 aa overlap","fadE29",,," 387 aa",," 387 aa ","probable acyl-coa dehydrogenase fade29"
"Rv3544c","Mb3574c","lipid metabolism","339 aa overlap","fadE28",,," 339 aa",," 339 aa ","probable acyl-coa dehydrogenase fade28"
"Rv3545c","Mb3575c","intermediate metabolism and respiration","433 aa overlap","cyp125",,," 433 aa",," 433 aa ","probable cytochrome p450 125 cyp125"
"Rv3546","Mb3576","lipid metabolism","391 aa overlap","fadA5",,," 391 aa",," 391 aa ","probable acetyl-coa acetyltransferase fada5 acetoacetyl-coa thiolase"
"Rv3547","Mb3577","intermediate metabolism and respiration","151 aa overlap","ddn",,," 151 aa",," 151 aa ","deazaflavin-dependent nitroreductase ddn"
"Rv3549c","Mb3579c","intermediate metabolism and respiration","259 aa overlap",,,," 259 aa",," 259 aa ","probable short-chain type dehydrogenase/reductase"
"Rv3550","Mb3580","lipid metabolism","247 aa overlap","echA20",,," 247 aa",," 247 aa ","probable enoyl-coa hydratase echa20 enoyl hydrase unsaturated acyl-coa hydratase crotonase"
"Rv3552","Mb3582","intermediate metabolism and respiration","250 aa overlap",,,," 250 aa",," 250 aa ","possible coa-transferase beta subunit"
"Rv3553","Mb3583","intermediate metabolism and respiration","355 aa overlap",,,," 355 aa",," 355 aa ","possible oxidoreductase"
"Rv3554","Mb3584","intermediate metabolism and respiration","685 aa overlap","fdxB",,," 685 aa",," 685 aa ","possible electron transfer protein fdxb"
"Rv3556c","Mb3586c","lipid metabolism","386 aa overlap","fadA6",,," 386 aa",," 386 aa ","probable acetyl-coa acetyltransferase fada6 acetoacetyl-coa thiolase"
"Rv3557c","Mb3587c","regulatory proteins","200 aa overlap",,,," 200 aa",," 200 aa ","transcriptional regulatory protein probably tetr-family"
"Rv3558","Mb3588","PE/PPE","552 aa overlap","PPE64",,," 552 aa",," 552 aa ","ppe family protein ppe64"
"Rv3560c","Mb3590c","lipid metabolism","385 aa overlap","fadE30",,," 385 aa",," 385 aa ","probable acyl-coa dehydrogenase fade30"
"Rv3562","Mb3592","lipid metabolism","377 aa overlap","fadE31",,," 377 aa",," 377 aa ","probable acyl-coa dehydrogenase fade31"
"Rv3564","Mb3594","lipid metabolism","318 aa overlap","fadE33",,," 318 aa",," 318 aa ","probable acyl-coa dehydrogenase fade33"
"Rv3565","Mb3595","intermediate metabolism and respiration","388 aa overlap","aspB",,," 388 aa",," 388 aa ","possible aspartate aminotransferase aspb transaminase a aspat glutamic--oxaloacetic transaminase glutamic--aspartic transaminase"
"Rv3566c","Mb3596c","intermediate metabolism and respiration","283 aa overlap","nat",,," 283 aa",," 283 aa ","arylamine n-acetyltransferase nat arylamine acetylase"
"Rv3566A","Mb3597c","conserved hypothetical protein","88 aa overlap",,,," 88 aa",," 88 aa ","hypothetical protein"
"Rv3569c","Mb3600c","intermediate metabolism and respiration","291 aa overlap","hsad",,," 291 aa",," 291 aa ","4c9-dhsa hydrolase"
"Rv3571","Mb3602","intermediate metabolism and respiration","358 aa overlap","kshb",,," 358 aa",," 358 aa ","reductase component of 3-ketosteroid-9-alpha-hydroxylase kshb"
"Rv3572","Mb3603","conserved hypothetical protein","176 aa overlap",,,," 176 aa",," 176 aa ","unknown protein"
"Rv3573c","Mb3604c","lipid metabolism","711 aa overlap","fadE34",,," 711 aa",," 711 aa ","probable acyl-coa dehydrogenase fade34"
"Rv3574","Mb3605","regulatory proteins","199 aa overlap","kstr",,," 199 aa",," 199 aa ","transcriptional regulatory protein kstr probably tetr-family"
"Rv3575c","Mb3606c","regulatory proteins","359 aa overlap",,,," 359 aa",," 359 aa ","transcriptional regulatory protein probably laci-family"
"Rv3577","Mb3608","conserved hypothetical protein","288 aa overlap",,,," 288 aa",," 288 aa ","conserved hypothetical protein"
"Rv3580c","Mb3611c","information pathways","469 aa overlap","cysS1",,," 469 aa",," 469 aa ","cysteinyl-trna synthetase 1 cyss1 cysteine--trna ligase 1 cysrs 1 cysteine translase"
"Rv3581c","Mb3612c","intermediate metabolism and respiration","159 aa overlap","ispF",,," 159 aa",," 159 aa ","probable 2c-methyl-d-erythritol 2c4-cyclodiphosphate synthase ispf mecps"
"Rv3583c","Mb3614c","regulatory proteins","162 aa overlap",,,," 162 aa",," 162 aa ","possible transcription factor"
"Rv3584","Mb3615","cell wall and cell processes","182 aa overlap","lpqE",,," 182 aa",," 182 aa ","possible conserved lipoprotein lpqe"
"Rv3585","Mb3616","information pathways","480 aa overlap","radA",,," 480 aa",," 480 aa ","dna repair protein rada dna repair protein sms"
"Rv3587c","Mb3618c","cell wall and cell processes","264 aa overlap",,,," 264 aa",," 264 aa ","probable conserved membrane protein"
"Rv3589","Mb3620","information pathways","304 aa overlap","mutY",,," 304 aa",," 304 aa ","probable adenine glycosylase muty"
"Rv3590c","Mb3621c","PE/PPE","584 aa overlap","PE_PGRS58",,," 584 aa",," 584 aa ","pe-pgrs family protein pe_pgrs58"
"Rv3591c","Mb3622c","intermediate metabolism and respiration","257 aa overlap",,,," 257 aa",," 257 aa ","possible hydrolase"
"Rv3592","Mb3623","intermediate metabolism and respiration","105 aa overlap","mhud",,," 105 aa",," 105 aa ","possible heme degrading protein mhud"
"Rv3594","Mb3625","conserved hypothetical protein","275 aa overlap",,,," 275 aa",," 275 aa ","conserved hypothetical protein"
"Rv3596c","Mb3627c","intermediate metabolism and respiration","848 aa overlap","clpC",,," 848 aa",," 848 aa ","probable atp-dependent protease atp-binding subunit clpc1"
"Rv3597c","Mb3628c","information pathways","112 aa overlap","lsr2",,," 112 aa",," 112 aa ","iron-regulated h-ns-like protein lsr2"
"Rv3599c","Mb3629A","conserved hypothetical protein","27 aa overlap",,,," 27 aa",," 27 aa ","hypothetical short protein"
"Rv3598c","Mb3629c","information pathways","505 aa overlap","lysS",,," 505 aa",," 505 aa ","lysyl-trna synthetase 1 lyss lysine--trna ligase 1 lysrs 1 lysine translase"
"Rv3600c","Mb3630c","conserved hypothetical protein","272 aa overlap",,,," 272 aa",," 272 aa ","conserved protein"
"Rv3601c","Mb3631c","intermediate metabolism and respiration","139 aa overlap","panD",,," 139 aa",," 139 aa ","probable aspartate 1-decarboxylase precursor pand aspartate alpha-decarboxylase"
"Rv3602c","Mb3632c","intermediate metabolism and respiration","309 aa overlap","panC",,," 309 aa",," 309 aa ","pantoate--beta-alanine ligase panc pantothenate synthetase pantoate activating enzyme"
"Rv3603c","Mb3633c","conserved hypothetical protein","303 aa overlap",,,," 303 aa",," 303 aa ","conserved hypothetical alanine and leucine rich protein"
"Rv3605c","Mb3635c","cell wall and cell processes","158 aa overlap",,,," 158 aa",," 158 aa ","probable conserved secreted protein"
"Rv3606c","Mb3636c","intermediate metabolism and respiration","188 aa overlap","folK",,," 188 aa",," 188 aa ","2-amino-4-hydroxy-6- hydroxymethyldihydropteridinepyrophosphokinase folk 7c8-dihydro-6-hydroxymethylpterin-pyrophosphokinase hppk 6-hydroxymethyl-7c8-dihydropterin pyrophosphokinase pppk 2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase 7c8-dihydro-6-hydroxymethylpterin-diphosphokinase 6-hydroxymethyl-7c8-dihydropterin diphosphokinase"
"Rv3607c","Mb3637c","intermediate metabolism and respiration","133 aa overlap","folB",,," 133 aa",," 133 aa ","probable dihydroneopterin aldolase folb dhna"
"Rv3608c","Mb3638c","intermediate metabolism and respiration","280 aa overlap","folP1",,," 280 aa",," 280 aa ","dihydropteroate synthase 1 folp dhps 1 dihydropteroate pyrophosphorylase 1 dihydropteroate diphosphorylase 1"
"Rv3609c","Mb3639c","intermediate metabolism and respiration","202 aa overlap","folE",,," 202 aa",," 202 aa ","gtp cyclohydrolase i fole gtp-ch-i"
"Rv3610c","Mb3640c","cell wall and cell processes","760 aa overlap","ftsH",,," 760 aa",," 760 aa ","membrane-bound protease ftsh cell division protein"
"Rv3612c","Mb3642c","conserved hypothetical protein","109 aa overlap",,,," 109 aa",," 109 aa ","conserved hypothetical protein"
"Rv3613c","Mb3643c","conserved hypothetical protein","53 aa overlap",,,," 53 aa",," 53 aa ","hypothetical protein"
"Rv3614c","Mb3644c","cell wall and cell processes","184 aa overlap","espd",,," 184 aa",," 184 aa ","esx-1 secretion-associated protein espd"
"Rv3615c","Mb3645c","cell wall and cell processes","103 aa overlap","espc",,," 103 aa",," 103 aa ","esx-1 secretion-associated protein espc"
"Rv3624c","Mb3648c","intermediate metabolism and respiration","216 aa overlap","hpt",,," 216 aa",," 216 aa ","hypoxanthine-guanine phosphoribosyltransferase hpt hgprt hgprtase hypoxanthine phosphoribosyltransferase imp pyrophosphorylase imp diphosphorylase transphosphoribosyltransferase guanine phosphoribosyltransferase"
"Rv3625c","Mb3649c","cell wall and cell processes","323 aa overlap","mesJ",,," 323 aa",," 323 aa ","possible cell cycle protein mesj"
"Rv3626c","Mb3650c","conserved hypothetical protein","350 aa overlap",,,," 350 aa",," 350 aa ","conserved hypothetical protein"
"Rv3628","Mb3652","intermediate metabolism and respiration","162 aa overlap","ppa",,," 162 aa",," 162 aa ","inorganic pyrophosphatase ppa pyrophosphate phospho-hydrolase ppase inorganic diphosphatase diphosphate phospho-hydrolase"
"Rv3629c","Mb3653c","cell wall and cell processes","365 aa overlap",,,," 365 aa",," 365 aa ","probable conserved integral membrane protein"
"Rv3631","Mb3655","intermediate metabolism and respiration","241 aa overlap",,,," 241 aa",," 241 aa ","possible transferase possibly glycosyltransferase"
"Rv3632","Mb3656","cell wall and cell processes","114 aa overlap",,,," 114 aa",," 114 aa ","possible conserved membrane protein"
"Rv3633","Mb3657","conserved hypothetical protein","291 aa overlap",,,," 291 aa",," 291 aa ","conserved protein"
"Rv3634c","Mb3658c","intermediate metabolism and respiration","314 aa overlap","galE1",,," 314 aa",," 314 aa ","udp-glucose 4-epimerase gale1 galactowaldenase udp-galactose 4-epimerase uridine diphosphate galactose 4-epimerase uridine diphospho-galactose 4-epimerase"
"Rv3635","Mb3659","cell wall and cell processes","591 aa overlap",,,," 591 aa",," 591 aa ","probable conserved transmembrane protein"
"Rv3636","Mb3660","insertion seqs and phages","115 aa overlap",,,," 115 aa",," 115 aa ","possible transposase"
"Rv3637","Mb3661","insertion seqs and phages","166 aa overlap",,,," 166 aa",," 166 aa ","possible transposase"
"Rv3638","Mb3662","insertion seqs and phages","248 aa overlap",,,," 248 aa",," 248 aa ","possible transposase"
"Rv3641c","Mb3665c","cell wall and cell processes","211 aa overlap","fic",,," 211 aa",," 211 aa ","possible cell filamentation protein fic"
"Rv3642c","Mb3666c","conserved hypothetical protein","64 aa overlap",,,," 64 aa",," 64 aa ","hypothetical protein"
"Rv3643","Mb3667","conserved hypothetical protein","63 aa overlap",,,," 63 aa",," 63 aa ","hypothetical protein"
"Rv3644c","Mb3668c","information pathways","401 aa overlap",,,," 401 aa",," 401 aa ","possible dna polymerase"
"Rv3645","Mb3669","cell wall and cell processes","549 aa overlap",,,," 549 aa",," 549 aa ","probable conserved transmembrane protein"
"Rv3646c","Mb3670c","information pathways","934 aa overlap","topA",,," 934 aa",," 934 aa ","dna topoisomerase i topa omega-protein relaxing enzyme untwisting enzyme swivelase type i dna topoisomerase nicking-closing enzyme topo i"
"Rv3647c","Mb3671c","conserved hypothetical protein","192 aa overlap",,,," 192 aa",," 192 aa ","conserved hypothetical protein"
"Rv3648c","Mb3672c","virulence, detoxification,adaptation","67 aa overlap","cspA",,," 67 aa",," 67 aa ","probable cold shock protein a cspa"
"Rv3650","Mb3674","PE/PPE","94 aa overlap","PE33",,," 94 aa",," 94 aa ","pe family protein pe33"
"Rv3651","Mb3675","conserved hypothetical protein","345 aa overlap",,,," 345 aa",," 345 aa ","conserved hypothetical protein"
"Rv3652","Mb3676","PE/PPE","104 aa overlap","PE_PGRS60",,," 104 aa",," 104 aa ","pe-pgrs family-related protein pe_pgrs60"
"Rv3654c","Mb3678c","conserved hypothetical protein","84 aa overlap",,,," 84 aa",," 84 aa ","conserved hypothetical protein"
"Rv3656c","Mb3680c","conserved hypothetical protein","68 aa overlap",,,," 68 aa",," 68 aa ","conserved hypothetical protein"
